#ppt,"","","","","","","","","","","","","","","","","",""
"",eco1,eco2,eco3,eco4,eco5,eco6,eco1,eco2,eco3,eco4,eco5,eco6,eco1,eco2,eco3,eco4,eco5,eco6
TIMESTEP,MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm)
2056-01-01T00:00:00Z,3.64327000000003,3.64327000000003,3.64327000000003,3.64327000000003,3.64327000000003,3.64327000000003,0,0,0,0,0,0,0,0,0,0,0,0
2056-02-01T00:00:00Z,-2.95913999999999,-2.95913999999999,-2.95913999999999,-2.95913999999999,-2.95913999999999,-2.95913999999999,0,0,0,0,0,0,0,0,0,0,0,0
2056-03-01T00:00:00Z,2.07660000000004,2.07660000000004,2.07660000000004,2.07660000000004,2.07660000000004,2.07660000000004,0,0,0,0,0,0,0,0,0,0,0,0
2056-04-01T00:00:00Z,6.95370000000003,6.95370000000003,6.95370000000003,6.95370000000003,6.95370000000003,6.95370000000003,0,0,0,0,0,0,0,0,0,0,0,0
2056-05-01T00:00:00Z,12.12585,12.12585,12.12585,12.12585,12.12585,12.12585,0,0,0,0,0,0,0,0,0,0,0,0
2056-06-01T00:00:00Z,16.6473,16.6473,16.6473,16.6473,16.6473,16.6473,0,0,0,0,0,0,0,0,0,0,0,0
2056-07-01T00:00:00Z,17.61434,17.61434,17.61434,17.61434,17.61434,17.61434,0,0,0,0,0,0,0,0,0,0,0,0
2056-08-01T00:00:00Z,17.90457,17.90457,17.90457,17.90457,17.90457,17.90457,0,0,0,0,0,0,0,0,0,0,0,0
2056-09-01T00:00:00Z,15.62893,15.62893,15.62893,15.62893,15.62893,15.62893,0,0,0,0,0,0,0,0,0,0,0,0
2056-10-01T00:00:00Z,7.17260000000005,7.17260000000005,7.17260000000005,7.17260000000005,7.17260000000005,7.17260000000005,0,0,0,0,0,0,0,0,0,0,0,0
2056-11-01T00:00:00Z,2.27307000000002,2.27307000000002,2.27307000000002,2.27307000000002,2.27307000000002,2.27307000000002,0,0,0,0,0,0,0,0,0,0,0,0
2056-12-01T00:00:00Z,1.78332,1.78332,1.78332,1.78332,1.78332,1.78332,0,0,0,0,0,0,0,0,0,0,0,0
2057-01-01T00:00:00Z,-0.95999999999998,-0.95999999999998,-0.95999999999998,-0.95999999999998,-0.95999999999998,-0.95999999999998,0,0,0,0,0,0,0,0,0,0,0,0
2057-02-01T00:00:00Z,-4.52484999999996,-4.52484999999996,-4.52484999999996,-4.52484999999996,-4.52484999999996,-4.52484999999996,0,0,0,0,0,0,0,0,0,0,0,0
2057-03-01T00:00:00Z,-1.2038,-1.2038,-1.2038,-1.2038,-1.2038,-1.2038,0,0,0,0,0,0,0,0,0,0,0,0
2057-04-01T00:00:00Z,4.09353000000004,4.09353000000004,4.09353000000004,4.09353000000004,4.09353000000004,4.09353000000004,0,0,0,0,0,0,0,0,0,0,0,0
2057-05-01T00:00:00Z,11.97823,11.97823,11.97823,11.97823,11.97823,11.97823,0,0,0,0,0,0,0,0,0,0,0,0
2057-06-01T00:00:00Z,16.08138,16.08138,16.08138,16.08138,16.08138,16.08138,0,0,0,0,0,0,0,0,0,0,0,0
2057-07-01T00:00:00Z,18.90008,18.90008,18.90008,18.90008,18.90008,18.90008,0,0,0,0,0,0,0,0,0,0,0,0
2057-08-01T00:00:00Z,18.9266,18.9266,18.9266,18.9266,18.9266,18.9266,0,0,0,0,0,0,0,0,0,0,0,0
2057-09-01T00:00:00Z,15.712,15.712,15.712,15.712,15.712,15.712,0,0,0,0,0,0,0,0,0,0,0,0
2057-10-01T00:00:00Z,6.20632000000001,6.20632000000001,6.20632000000001,6.20632000000001,6.20632000000001,6.20632000000001,0,0,0,0,0,0,0,0,0,0,0,0
2057-11-01T00:00:00Z,1.18220000000002,1.18220000000002,1.18220000000002,1.18220000000002,1.18220000000002,1.18220000000002,0,0,0,0,0,0,0,0,0,0,0,0
2057-12-01T00:00:00Z,-0.29019999999997,-0.29019999999997,-0.29019999999997,-0.29019999999997,-0.29019999999997,-0.29019999999997,0,0,0,0,0,0,0,0,0,0,0,0
2058-01-01T00:00:00Z,0.82632000000001,0.82632000000001,0.82632000000001,0.82632000000001,0.82632000000001,0.82632000000001,0,0,0,0,0,0,0,0,0,0,0,0
2058-02-01T00:00:00Z,3.48193000000003,3.48193000000003,3.48193000000003,3.48193000000003,3.48193000000003,3.48193000000003,0,0,0,0,0,0,0,0,0,0,0,0
2058-03-01T00:00:00Z,7.80680000000001,7.80680000000001,7.80680000000001,7.80680000000001,7.80680000000001,7.80680000000001,0,0,0,0,0,0,0,0,0,0,0,0
2058-04-01T00:00:00Z,8.74550000000005,8.74550000000005,8.74550000000005,8.74550000000005,8.74550000000005,8.74550000000005,0,0,0,0,0,0,0,0,0,0,0,0
2058-05-01T00:00:00Z,13.29965,13.29965,13.29965,13.29965,13.29965,13.29965,0,0,0,0,0,0,0,0,0,0,0,0
2058-06-01T00:00:00Z,16.34402,16.34402,16.34402,16.34402,16.34402,16.34402,0,0,0,0,0,0,0,0,0,0,0,0
2058-07-01T00:00:00Z,17.49102,17.49102,17.49102,17.49102,17.49102,17.49102,0,0,0,0,0,0,0,0,0,0,0,0
2058-08-01T00:00:00Z,18.99337,18.99337,18.99337,18.99337,18.99337,18.99337,0,0,0,0,0,0,0,0,0,0,0,0
2058-09-01T00:00:00Z,16.82507,16.82507,16.82507,16.82507,16.82507,16.82507,0,0,0,0,0,0,0,0,0,0,0,0
2058-10-01T00:00:00Z,7.03304000000003,7.03304000000003,7.03304000000003,7.03304000000003,7.03304000000003,7.03304000000003,0,0,0,0,0,0,0,0,0,0,0,0
2058-11-01T00:00:00Z,3.43496000000005,3.43496000000005,3.43496000000005,3.43496000000005,3.43496000000005,3.43496000000005,0,0,0,0,0,0,0,0,0,0,0,0
2058-12-01T00:00:00Z,3.42780000000005,3.42780000000005,3.42780000000005,3.42780000000005,3.42780000000005,3.42780000000005,0,0,0,0,0,0,0,0,0,0,0,0
2059-01-01T00:00:00Z,0.808370000000025,0.808370000000025,0.808370000000025,0.808370000000025,0.808370000000025,0.808370000000025,0,0,0,0,0,0,0,0,0,0,0,0
2059-02-01T00:00:00Z,-3.85505000000001,-3.85505000000001,-3.85505000000001,-3.85505000000001,-3.85505000000001,-3.85505000000001,0,0,0,0,0,0,0,0,0,0,0,0
2059-03-01T00:00:00Z,2.73202000000003,2.73202000000003,2.73202000000003,2.73202000000003,2.73202000000003,2.73202000000003,0,0,0,0,0,0,0,0,0,0,0,0
2059-04-01T00:00:00Z,5.35336000000001,5.35336000000001,5.35336000000001,5.35336000000001,5.35336000000001,5.35336000000001,0,0,0,0,0,0,0,0,0,0,0,0
2059-05-01T00:00:00Z,14.07827,14.07827,14.07827,14.07827,14.07827,14.07827,0,0,0,0,0,0,0,0,0,0,0,0
2059-06-01T00:00:00Z,14.61193,14.61193,14.61193,14.61193,14.61193,14.61193,0,0,0,0,0,0,0,0,0,0,0,0
2059-07-01T00:00:00Z,18.66567,18.66567,18.66567,18.66567,18.66567,18.66567,0,0,0,0,0,0,0,0,0,0,0,0
2059-08-01T00:00:00Z,17.86236,17.86236,17.86236,17.86236,17.86236,17.86236,0,0,0,0,0,0,0,0,0,0,0,0
2059-09-01T00:00:00Z,14.55285,14.55285,14.55285,14.55285,14.55285,14.55285,0,0,0,0,0,0,0,0,0,0,0,0
2059-10-01T00:00:00Z,5.94753000000003,5.94753000000003,5.94753000000003,5.94753000000003,5.94753000000003,5.94753000000003,0,0,0,0,0,0,0,0,0,0,0,0
2059-11-01T00:00:00Z,4.59040000000005,4.59040000000005,4.59040000000005,4.59040000000005,4.59040000000005,4.59040000000005,0,0,0,0,0,0,0,0,0,0,0,0
2059-12-01T00:00:00Z,2.94647000000003,2.94647000000003,2.94647000000003,2.94647000000003,2.94647000000003,2.94647000000003,0,0,0,0,0,0,0,0,0,0,0,0
2060-01-01T00:00:00Z,-2.20291999999995,-2.20291999999995,-2.20291999999995,-2.20291999999995,-2.20291999999995,-2.20291999999995,0,0,0,0,0,0,0,0,0,0,0,0
2060-02-01T00:00:00Z,4.81808000000001,4.81808000000001,4.81808000000001,4.81808000000001,4.81808000000001,4.81808000000001,0,0,0,0,0,0,0,0,0,0,0,0
2060-03-01T00:00:00Z,6.84777000000003,6.84777000000003,6.84777000000003,6.84777000000003,6.84777000000003,6.84777000000003,0,0,0,0,0,0,0,0,0,0,0,0
2060-04-01T00:00:00Z,8.84023000000002,8.84023000000002,8.84023000000002,8.84023000000002,8.84023000000002,8.84023000000002,0,0,0,0,0,0,0,0,0,0,0,0
2060-05-01T00:00:00Z,12.394,12.394,12.394,12.394,12.394,12.394,0,0,0,0,0,0,0,0,0,0,0,0
2060-06-01T00:00:00Z,16.10507,16.10507,16.10507,16.10507,16.10507,16.10507,0,0,0,0,0,0,0,0,0,0,0,0
2060-07-01T00:00:00Z,17.6316,17.6316,17.6316,17.6316,17.6316,17.6316,0,0,0,0,0,0,0,0,0,0,0,0
2060-08-01T00:00:00Z,17.7617,17.7617,17.7617,17.7617,17.7617,17.7617,0,0,0,0,0,0,0,0,0,0,0,0
2060-09-01T00:00:00Z,13.825,13.825,13.825,13.825,13.825,13.825,0,0,0,0,0,0,0,0,0,0,0,0
2060-10-01T00:00:00Z,5.73410000000001,5.73410000000001,5.73410000000001,5.73410000000001,5.73410000000001,5.73410000000001,0,0,0,0,0,0,0,0,0,0,0,0
2060-11-01T00:00:00Z,2.83108000000004,2.83108000000004,2.83108000000004,2.83108000000004,2.83108000000004,2.83108000000004,0,0,0,0,0,0,0,0,0,0,0,0
2060-12-01T00:00:00Z,-4.78381999999999,-4.78381999999999,-4.78381999999999,-4.78381999999999,-4.78381999999999,-4.78381999999999,0,0,0,0,0,0,0,0,0,0,0,0
2061-01-01T00:00:00Z,-1.00732999999997,-1.00732999999997,-1.00732999999997,-1.00732999999997,-1.00732999999997,-1.00732999999997,0,0,0,0,0,0,0,0,0,0,0,0
2061-02-01T00:00:00Z,2.82955000000004,2.82955000000004,2.82955000000004,2.82955000000004,2.82955000000004,2.82955000000004,0,0,0,0,0,0,0,0,0,0,0,0
2061-03-01T00:00:00Z,7.09936000000005,7.09936000000005,7.09936000000005,7.09936000000005,7.09936000000005,7.09936000000005,0,0,0,0,0,0,0,0,0,0,0,0
2061-04-01T00:00:00Z,8.06066000000004,8.06066000000004,8.06066000000004,8.06066000000004,8.06066000000004,8.06066000000004,0,0,0,0,0,0,0,0,0,0,0,0
2061-05-01T00:00:00Z,14.13226,14.13226,14.13226,14.13226,14.13226,14.13226,0,0,0,0,0,0,0,0,0,0,0,0
2061-06-01T00:00:00Z,16.50118,16.50118,16.50118,16.50118,16.50118,16.50118,0,0,0,0,0,0,0,0,0,0,0,0
2061-07-01T00:00:00Z,18.67278,18.67278,18.67278,18.67278,18.67278,18.67278,0,0,0,0,0,0,0,0,0,0,0,0
2061-08-01T00:00:00Z,18.3424,18.3424,18.3424,18.3424,18.3424,18.3424,0,0,0,0,0,0,0,0,0,0,0,0
2061-09-01T00:00:00Z,16.5868,16.5868,16.5868,16.5868,16.5868,16.5868,0,0,0,0,0,0,0,0,0,0,0,0
2061-10-01T00:00:00Z,8.78472000000005,8.78472000000005,8.78472000000005,8.78472000000005,8.78472000000005,8.78472000000005,0,0,0,0,0,0,0,0,0,0,0,0
2061-11-01T00:00:00Z,2.6662,2.6662,2.6662,2.6662,2.6662,2.6662,0,0,0,0,0,0,0,0,0,0,0,0
2061-12-01T00:00:00Z,-2.89936,-2.89936,-2.89936,-2.89936,-2.89936,-2.89936,0,0,0,0,0,0,0,0,0,0,0,0
2062-01-01T00:00:00Z,-4.72531999999995,-4.72531999999995,-4.72531999999995,-4.72531999999995,-4.72531999999995,-4.72531999999995,0,0,0,0,0,0,0,0,0,0,0,0
2062-02-01T00:00:00Z,-0.491669999999999,-0.491669999999999,-0.491669999999999,-0.491669999999999,-0.491669999999999,-0.491669999999999,0,0,0,0,0,0,0,0,0,0,0,0
2062-03-01T00:00:00Z,3.30587000000003,3.30587000000003,3.30587000000003,3.30587000000003,3.30587000000003,3.30587000000003,0,0,0,0,0,0,0,0,0,0,0,0
2062-04-01T00:00:00Z,7.99438000000004,7.99438000000004,7.99438000000004,7.99438000000004,7.99438000000004,7.99438000000004,0,0,0,0,0,0,0,0,0,0,0,0
2062-05-01T00:00:00Z,14.24005,14.24005,14.24005,14.24005,14.24005,14.24005,0,0,0,0,0,0,0,0,0,0,0,0
2062-06-01T00:00:00Z,15.44695,15.44695,15.44695,15.44695,15.44695,15.44695,0,0,0,0,0,0,0,0,0,0,0,0
2062-07-01T00:00:00Z,18.88806,18.88806,18.88806,18.88806,18.88806,18.88806,0,0,0,0,0,0,0,0,0,0,0,0
2062-08-01T00:00:00Z,19.19863,19.19863,19.19863,19.19863,19.19863,19.19863,0,0,0,0,0,0,0,0,0,0,0,0
2062-09-01T00:00:00Z,16.14352,16.14352,16.14352,16.14352,16.14352,16.14352,0,0,0,0,0,0,0,0,0,0,0,0
2062-10-01T00:00:00Z,10.1672,10.1672,10.1672,10.1672,10.1672,10.1672,0,0,0,0,0,0,0,0,0,0,0,0
2062-11-01T00:00:00Z,1.01170000000002,1.01170000000002,1.01170000000002,1.01170000000002,1.01170000000002,1.01170000000002,0,0,0,0,0,0,0,0,0,0,0,0
2062-12-01T00:00:00Z,0.822200000000009,0.822200000000009,0.822200000000009,0.822200000000009,0.822200000000009,0.822200000000009,0,0,0,0,0,0,0,0,0,0,0,0
2063-01-01T00:00:00Z,-4.70492999999999,-4.70492999999999,-4.70492999999999,-4.70492999999999,-4.70492999999999,-4.70492999999999,0,0,0,0,0,0,0,0,0,0,0,0
2063-02-01T00:00:00Z,1.36508000000003,1.36508000000003,1.36508000000003,1.36508000000003,1.36508000000003,1.36508000000003,0,0,0,0,0,0,0,0,0,0,0,0
2063-03-01T00:00:00Z,4.09118000000001,4.09118000000001,4.09118000000001,4.09118000000001,4.09118000000001,4.09118000000001,0,0,0,0,0,0,0,0,0,0,0,0
2063-04-01T00:00:00Z,8.65038000000004,8.65038000000004,8.65038000000004,8.65038000000004,8.65038000000004,8.65038000000004,0,0,0,0,0,0,0,0,0,0,0,0
2063-05-01T00:00:00Z,11.79647,11.79647,11.79647,11.79647,11.79647,11.79647,0,0,0,0,0,0,0,0,0,0,0,0
2063-06-01T00:00:00Z,15.51922,15.51922,15.51922,15.51922,15.51922,15.51922,0,0,0,0,0,0,0,0,0,0,0,0
2063-07-01T00:00:00Z,16.84298,16.84298,16.84298,16.84298,16.84298,16.84298,0,0,0,0,0,0,0,0,0,0,0,0
2063-08-01T00:00:00Z,16.95526,16.95526,16.95526,16.95526,16.95526,16.95526,0,0,0,0,0,0,0,0,0,0,0,0
2063-09-01T00:00:00Z,15.54156,15.54156,15.54156,15.54156,15.54156,15.54156,0,0,0,0,0,0,0,0,0,0,0,0
2063-10-01T00:00:00Z,8.92556000000002,8.92556000000002,8.92556000000002,8.92556000000002,8.92556000000002,8.92556000000002,0,0,0,0,0,0,0,0,0,0,0,0
2063-11-01T00:00:00Z,6.92693000000003,6.92693000000003,6.92693000000003,6.92693000000003,6.92693000000003,6.92693000000003,0,0,0,0,0,0,0,0,0,0,0,0
2063-12-01T00:00:00Z,0.308680000000038,0.308680000000038,0.308680000000038,0.308680000000038,0.308680000000038,0.308680000000038,0,0,0,0,0,0,0,0,0,0,0,0
2064-01-01T00:00:00Z,0.664360000000045,0.664360000000045,0.664360000000045,0.664360000000045,0.664360000000045,0.664360000000045,0,0,0,0,0,0,0,0,0,0,0,0
2064-02-01T00:00:00Z,-0.257539999999949,-0.257539999999949,-0.257539999999949,-0.257539999999949,-0.257539999999949,-0.257539999999949,0,0,0,0,0,0,0,0,0,0,0,0
2064-03-01T00:00:00Z,5.67935,5.67935,5.67935,5.67935,5.67935,5.67935,0,0,0,0,0,0,0,0,0,0,0,0
